variable	Estimate	Std..Error	z.value	Pr...z..
(Intercept)	-3.48347747560081	2.3857928366599	-1.46009218490138	0.144264740176452
genderFemale	1.60065960774857	0.449851127692622	3.55819849993192	0.000373407085045929
site.of.onset2	1.37269435358166	0.505015562781082	2.71812287530772	0.00656534515117003
site.of.onset3	0.694658993649698	1.23911607685366	0.560608490702147	0.575064462047375
BMI	-0.105851292449872	0.0705912835143633	-1.49949522349079	0.133745206925793
PLT	0.00537211291028642	0.00289230929322038	1.85737843559081	0.063257332279233
`BASO#`	-14.9680184103833	10.7076991178679	-1.39787439351991	0.162150789368426
CREA	-0.0408220631054264	0.014364103556402	-2.84194993061242	0.00448385328810671
URIC	0.0044489750464395	0.00259129427141065	1.71689301964827	0.0859987205403237
TG	0.365959070020876	0.234220036362275	1.56245842885464	0.118180031782275
CHOL	-0.483095078627757	0.236274611180696	-2.04463389533757	0.040890965213176
`HDL-C`	1.36292329144517	0.718577612273434	1.89669601190769	0.0578680703733571
onset.age	0.0880637469511879	0.0186467875090194	4.72273022409848	2.32699434884978e-06
